idx,year,first_author,all_authors,title,venue,doi,cited_by,group,topic,相关性评分,匹配关键词,abstract
57,2013,Shuihua Wang‎,Shuihua Wang‎; Xiaodong Yang; Yingli Tian,Detecting signage and doors for blind navigation and wayfinding,Network Modeling Analysis in Health Informatics and Bioinformatics,10.1007/s13721-013-0027-9,17,A_AR_HUD_navigation,Advanced Image and Video Retrieval Techniques,18.5,"T:navigation,T:wayfinding",
58,2018,Gianluca Di Flumeri,Gianluca Di Flumeri; Gianluca Borghini; Pietro Aricò; Nicolina Sciaraffa,EEG-Based Mental Workload Neurometric to Evaluate the Impact of Different Traffic and Road Conditions in Real Driving Settings,Frontiers in Human Neuroscience,10.3389/fnhum.2018.00509,163,F_traffic_density_complexity,EEG and Brain-Computer Interfaces,18.4,"T:driving,A:driver,A:pedestrian","Car driving is considered a very complex activity, consisting of different concomitant tasks and subtasks, thus it is crucial to understand the impact of different factors, such as road complexity, traffic, dashboard devices, and external events on the driver's behavior and performance. For this rea"
59,2018,Tad T. Brunyé,Tad T. Brunyé; Aaron L. Gardony; Amanda Holmes; Holly A. Taylor,Spatial decision dynamics during wayfinding: intersections prompt the decision-making process,Cognitive Research Principles and Implications,10.1186/s41235-018-0098-3,46,A_AR_HUD_navigation,Spatial Cognition and Navigation,18.3,"A:navigation,T:wayfinding,A:pedestrian","Intersections are critical decision points for wayfinders, but it is unknown how decision dynamics unfold during pedestrian wayfinding. Some research implies that pedestrians leverage available visual cues to actively compare options while in an intersection, whereas other research suggests that peo"
60,2016,Arie Paul van den Beukel,Arie Paul van den Beukel; Mascha C. van der Voort; Arthur O. Eger,Supporting the changing driver’s task: Exploration of interface designs for supervision and intervention in automated driving,Transportation Research Part F Traffic Psychology and Behaviour,10.1016/j.trf.2016.09.009,43,F_traffic_density_complexity,Human-Automation Interaction and Safety,18.3,"T:driving,T:driver",
61,2017,Markus Grüner,Markus Grüner; Ulrich Ansorge,Mobile eye tracking during real-world night driving: A selective review of findings and recommendations for future research,Journal of Eye Movement Research,10.16910/jemr.10.2.1,42,B_attentional_capture_driving,Human-Automation Interaction and Safety,18.3,"T:driving,A:driver,T:eye tracking,A:cognitive load","We exhaustively review the published research on eye movements during real-world night driving, which is an important field of research as fatal road traffic accidents at night out-number fatal accidents during the daytime. Eye tracking provides a unique window into the underlying cognitive processe"
62,2020,Debargha Dey,Debargha Dey; Andrii Matviienko; Melanie Berger; Bastian Pfleging,Communicating the intention of an automated vehicle to pedestrians: The contributions of eHMI and vehicle behavior,it - Information Technology,10.1515/itit-2020-0025,124,B_attentional_capture_driving,Human-Automation Interaction and Safety,18.2,"A:driving,A:driver,T:pedestrian","Abstract External Human-Machine Interfaces (eHMIs) are expected to bridge the communication gap between an automated vehicle (AV) and pedestrians to replace the missing driver-pedestrian interaction. However, the relative impact of movement-based implicit communication and explicit communication wit"
63,2022,Linda Pipkorn,Linda Pipkorn; Marco Dozza; Emma Tivesten,Driver Visual Attention Before and After Take-Over Requests During Automated Driving on Public Roads,Human Factors The Journal of the Human Factors and Ergonomics Society,10.1177/00187208221093863,32,B_attentional_capture_driving,Human-Automation Interaction and Safety,18.0,"T:driving,T:driver","OBJECTIVE: This study aims to understand drivers' visual attention before and after take-over requests during automated driving (AD), when the vehicle is fully responsible for the driving task on public roads. BACKGROUND: Existing research on transitions of control from AD to manual driving has main"
64,2024,Wolfgang Einhäuser,Wolfgang Einhäuser; Christiane R. Neubert; Sabine Grimm; Alexandra Bendixen,High visual salience of alert signals can lead to a counterintuitive increase of reaction times,Scientific Reports,10.1038/s41598-024-58953-4,9,B_attentional_capture_driving,Neural and Behavioral Psychology Studies,18.0,"T:visual salience,T:salience","It is often assumed that rendering an alert signal more salient yields faster responses to this alert. Yet, there might be a trade-off between attracting attention and distracting from task execution. Here we tested this in four behavioral experiments with eye-tracking using an abstract alert-signal"
65,2012,Éric Laurier,Éric Laurier; Barry Brown; Hayden Lorimer,"What it means to change lanes: Actions, emotions and wayfinding in the family car",Semiotica,10.1515/sem-2012-0058,30,A_AR_HUD_navigation,"Language, Discourse, Communication Strategies",18.0,"A:navigation,T:wayfinding,A:driver","In this paper we investigate how the sequential organization and settlement of disagreements comes to shape, and be shaped by, navigation. Using extracts of in-car interaction, we examine the gestalt of projectable aspects of road travel, car movements, and driver-navigator talk. Navigation when acc"
66,2018,David R. Large,David R. Large; Hyungil Kim; Coleman Merenda; Samantha Leong,Investigating the effect of urgency and modality of pedestrian alert warnings on driver acceptance and performance,Transportation Research Part F Traffic Psychology and Behaviour,10.1016/j.trf.2018.09.028,30,F_traffic_density_complexity,Human-Automation Interaction and Safety,18.0,"T:driver,T:pedestrian",
67,2016,Nicholas Gaspelin,Nicholas Gaspelin; Carly J. Leonard; Steven J. Luck,Suppression of overt attentional capture by salient-but-irrelevant color singletons,Attention Perception & Psychophysics,10.3758/s13414-016-1209-1,283,C_signal_suppression,Neural and Behavioral Psychology Studies,17.9,T:attentional capture,
68,2023,Hsin‐Pou Huang,Hsin‐Pou Huang; Hung‐Chung Li; Minchen Wei; Guanhong Li,Investigation of Text-Background Lightness Combination on Visual Clarity Using a Head-Up Display under Various Surround Conditions and Different Age Groups,Applied Sciences,10.3390/app13106037,6,E_transparency_luminance+F_traffic_density_complexity,Human-Automation Interaction and Safety,17.7,"T:head-up display,A:driving,A:driver","Up until now, head-up displays (HUDs) have been installed in front of the driver’s seat to provide drivers with auxiliary information. It may be used in various surroundings, ranging from very dark to very bright environments, such as daylight. A suitable text-background lightness combination can im"
69,2021,Frederik Naujoks,Frederik Naujoks; Christoph Mai; Alexandra Neukum,The Effect of Urgency of Take-Over Requests During Highly Automated Driving Under Distraction Conditions,AHFE international,10.54941/ahfe100646,186,B_attentional_capture_driving,Human-Automation Interaction and Safety,17.5,"T:driving,A:driver,A:driving simulator","Highly automated driving may improve driving comfort and safety in the near future. Due to possible system limits of highly automated driver support, the driver is expected to take over the vehicle control if a so-called take-over request is issued. One example of these system limits are missing or "
70,2010,D. W. F. van Krevelen,D. W. F. van Krevelen; Ronald Poelman,"A Survey of Augmented Reality Technologies, Applications and Limitations",International Journal of Virtual Reality,10.20870/ijvr.2010.9.2.2767,1644,A_AR_HUD_navigation+F_traffic_density_complexity,Augmented Reality Applications,17.4,T:augmented reality,"A Survey of Augmented Reality Technologies, Applications and Limitations"
71,2009,Keisuke Fukuda,Keisuke Fukuda; Edward K. Vogel,Human Variation in Overriding Attentional Capture,Journal of Neuroscience,10.1523/jneurosci.2145-09.2009,381,D_inattentional_blindness_AR,Neural and Behavioral Psychology Studies,17.2,T:attentional capture,"Attention can be directed either voluntarily based on the goals of the individual or involuntarily ""captured"" by salient stimuli in the immediate environment. Although involuntary capture is a critical means of directing attention, the completion of many common tasks requires our ability to ignore s"
72,2019,Ruth Dalton,Ruth Dalton; Christoph Hölscher; Daniel R. Montello,Wayfinding as a Social Activity,Frontiers in Psychology,10.3389/fpsyg.2019.00142,117,A_AR_HUD_navigation,Spatial Cognition and Navigation,17.1,"A:navigation,T:wayfinding","We discuss the important, but greatly under-researched, topic of the social aspects of human wayfinding during navigation. Wayfinding represents the planning and decision-making component of navigation and is arguably among the most common, real-world domains of both individual and group-level decis"
73,2017,Melih Altun,Melih Altun; Mehmet Celenk,Road Scene Content Analysis for Driver Assistance and Autonomous Driving,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2017.2688352,36,F_traffic_density_complexity,Visual Attention and Saliency Detection,17.1,"T:driving,T:driver",This paper aims to develop a vision-based driver assistance system for scene awareness using video frames obtained from a dashboard camera. A saliency image map is devised with features pertinent to the driving scene. This saliency map mimics the human contour and motion sensitive visual perception 
74,2018,Alexander Eriksson,Alexander Eriksson; Sebastiaan M. Petermeijer; Markus Zimmermann; Joost de Winter,Rolling Out the Red (and Green) Carpet: Supporting Driver Decision Making in Automation-to-Manual Transitions,IEEE Transactions on Human-Machine Systems,10.1109/thms.2018.2883862,116,A_AR_HUD_navigation+F_traffic_density_complexity,Human-Automation Interaction and Safety,17.1,"A:driving,T:driver,A:driving simulator","This paper assessed four types of human-machine interfaces (HMIs), classified according to the stages of automation proposed by Parasuraman et al. [“A model for types and levels of human interaction with automation,” IEEE Trans. Syst. Man, Cybern. A, Syst. Humans, vol. 30, no. 3, pp. 286-297, May 20"
75,2022,Monirul Islam Pavel,Monirul Islam Pavel; Siok Yee Tan; Azizi Abdullah,Vision-Based Autonomous Vehicle Systems Based on Deep Learning: A Systematic Literature Review,Applied Sciences,10.3390/app12146831,109,A_AR_HUD_navigation+E_transparency_luminance,Autonomous Vehicle Technology and Safety,17.1,"A:augmented reality,A:head-up display,A:pedestrian","In the past decade, autonomous vehicle systems (AVS) have advanced at an exponential rate, particularly due to improvements in artificial intelligence, which have had a significant impact on social as well as road safety and the future of transportation systems. However, the AVS is still far away fr"
76,2018,Pietro Cipresso,Pietro Cipresso; Irene Alice Chicchi Giglioli; Mariano Alcañíz; Giuseppe Riva,"The Past, Present, and Future of Virtual and Augmented Reality Research: A Network and Cluster Analysis of the Literature",Frontiers in Psychology,10.3389/fpsyg.2018.02086,1097,A_AR_HUD_navigation,Virtual Reality Applications and Impacts,17.1,T:augmented reality,"The recent appearance of low cost virtual reality (VR) technologies - like the Oculus Rift, the HTC Vive and the Sony PlayStation VR - and Mixed Reality Interfaces (MRITF) - like the Hololens - is attracting the attention of users and researchers suggesting it may be the next largest stepping stone "
77,2019,Juhee Park,Juhee Park; Woojin Park,A Review on the Interface Design of Automotive Head-Up Displays for Communicating Safety-Related Information,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,10.1177/1071181319631099,9,F_traffic_density_complexity,Human-Automation Interaction and Safety,17.0,"T:head-up display,A:driving,A:driver","Automotive head-up displays (HUDs) have the advantage of allowing drivers to keep their eyes forward while driving by superimposing visual information on top of the drivers’ forward field of view (FoV). In order to provide the intended advantage, HUDs must be designed such that they respect the char"
78,2014,Karlin Bark,Karlin Bark; Cuong Tran; Kikuo Fujimura; Victor Ng‐Thow‐Hing,Personal Navi,,10.1145/2667317.2667329,94,A_AR_HUD_navigation,Augmented Reality Applications,17.0,"A:augmented reality,A:navigation,A:driving","Augmented reality (AR) is an interface that can potentially provide more intuitive and immersive experiences, particularly for automotive applications. In this paper we present the Personal Navi, a vehicular AR navigational aid designed for use with a see-thru 3D volumetric Head Up Display (HUD). In"
79,2016,MaryAnn P. Noonan,MaryAnn P. Noonan; Nika Adamian; Alexandra C. Pike; Frida Printzlau,Distinct Mechanisms for Distractor Suppression and Target Facilitation,Journal of Neuroscience,10.1523/jneurosci.2133-15.2016,221,C_signal_suppression,Neural and Behavioral Psychology Studies,16.7,T:distractor suppression,"It is well established that preparatory attention improves processing of task-relevant stimuli. Although it is often more important to ignore task-irrelevant stimuli, comparatively little is known about preparatory attentional mechanisms for inhibiting expected distractions. Here, we establish that "
80,2024,Jinlei Shi,Jinlei Shi; Chunlei Chai; Ruiyi Cai; Haoran Wei,Effects of various in-vehicle human–machine interfaces on drivers’ takeover performance and gaze pattern in conditionally automated vehicles,International Journal of Human-Computer Studies,10.1016/j.ijhcs.2024.103362,19,B_attentional_capture_driving+D_inattentional_blindness_AR+F_traffic_density_complexity,Human-Automation Interaction and Safety,16.6,"T:driver,T:in-vehicle",
