序号	文献	场景	色彩显示	位置	形状	动静态	预警信息出现时间	预警信息持续时间	预警信息是否有分级	实验任务	自变量	因变量	结果	作者	团队/单位	发表年份	期刊/来源	JCR分区	★资料来源	★证据强度	★APA引注	★APA条目	★所属实验
11	Collision Avoidance Head-Up Display: Design Considerations for Emergency Services’ Vehicles	Emergency Services（应急服务车辆，含 ambulance/fire/police）穿越拥堵或缓行交通到达事故现场的场景	未报告	AR-HUD 在驾驶员视野内投射，对比 HDD（Head-Down Display 仪表盘式）系统；具体位置参数未在 abstract 给出	未报告（abstract 提出原型 HUD 设计与开发框架，具体图形未展开）	未报告	未报告	未报告	未报告	调查研究 + 原型设计：分析普通驾驶员在缓行/拥堵中的注意力分散状态；提取应急车辆 HUD 的 HMI 需求	调查/需求研究为主（无典型实验自变量操控）	普通驾驶员的注意力/分心状态报告；应急车辆原型 HUD 的 HMI 需求清单	拥堵中普通驾驶员因分心常无法及时让行；AR-HUD 较 HDD 在传递关键信息和辅助决策方面更具优势；提出应急车辆 AR-HUD 设计与开发框架及 HMI 需求	Kweku F. Bram-Larbi, Vassilis Charissis, Soheeb Khan	Kweku F. Bram-Larbi	2020	IEEE ICCE 2020	会议 (IF -) (消费电子会议)	全文	强	(Bram-Larbi et al., 2020)	Bram-Larbi, K., Charissis, V., Khan, S., Lagoo, R., Harrison, D. K., & Drikakis, D. (2020). Collision Avoidance Head-Up Display: Design Considerations for Emergency Services’ Vehicles. In *2020 IEEE International Conference on Consumer Electronics (ICCE)* (pp. 1–7). IEEE. https://doi.org/10.1109/icce46568.2020.9043068	背景（技术/综述，未直接引用）
12	Improving Pedestrian Safety with Head-Up Display Warning in a Connected Environment	网联（connected）环境下的驾驶模拟器场景：行人横穿风险事件；含 clear weather（晴天）与 foggy weather（雾天）两类天气	未报告	HUD 驾驶员前向视野；与 HDD（仪表盘）和 baseline（无预警）对比	未报告（abstract 仅描述为提前推送的 warning information）	未报告	提前于风险点推送（'providing warning information to drivers in advance'；'started to decelerate further away from pedestrians'），具体 TTC/距离阈值未在 abstract 给出	未报告	无分级（三种显示类型对比：Baseline / Head-Down Display / Head-Up Display）	驾驶模拟器中应对行人横穿风险事件，含制动规避操作	预警显示类型（Baseline / HDD / HUD）× 天气条件（clear / foggy）	感知-决策阶段：油门松开位置 position of accelerator-pedal release、首次制动位置 position of first braking；规避操控：最大减速度 maximum deceleration、制动距离 braking distance；结果阶段：最小碰撞距离 minimum collision distance、最低车速位置 position of minimum speed	HUD 预警条件下，驾驶员更早开始减速，减速过程更平稳、安全裕度更大；雾天条件下 HUD 对感知与决策的改善尤为明显，验证了 connected HUD 的安全价值	Yu Zhang, Yang Bian, Xiaohua Zhao	Yu Zhang	2024	IJHCI 2024	Q1 (IF 4.9) (HCI 重要期刊)	全文	强	(Zhang et al., 2024)	Zhang, Y., Bian, Y., Zhao, X., Li, X., & Zhang, J. (2024). Improving Pedestrian Safety with Head-Up Display Warning in a Connected Environment. *International Journal of Human–Computer Interaction*, *41*(6), 3724–3744. https://doi.org/10.1080/10447318.2024.2368910	实验1
13	Assessing Distraction Potential of Augmented Reality Head-Up Displays for Vehicle Drivers	Cogent Lab 中保真模拟器；Pioneer Cyber Navi 真实 AR-HUD（780×260 px, FOV 15°, 虚像距离 ~3m）；评估单次注视 (single glance) 时长对认知隧道与无意视盲的影响	未明确（聚焦于注视时长效应而非颜色研究）	Pioneer Cyber Navi HUD（驾驶员中央正前方）	AR 图形（具体形状未指定，方法论提案）	静态/动态混合（注视任务期间）	实验性操控的注视时长：2 / 5 / 10 / 15 / 20 / 30 / 40 / 50 秒	等同于注视时长（2 s 至 50 s 共 8 个等级）	无分级（关注注视时长操控）	单次注视 AR-HUD 内容时分别检测：(1) CDT 改变盲视检测任务、(2) PDT 周边检测任务，量化无意视盲与认知隧道	AR-HUD 单次注视时长（2/5/10/15/20/30/40/50s）	无意视盲发生率 (CDT)；周边检测任务反应时与漏检率 (PDT)	提出 AR-HUD 干扰潜势的双指标评估方法（CDT + PDT）；具体定量结果取决于研究阶段（提案为方法论框架）	Hyungil Kim, Joseph L. Gabbard	Hyungil Kim	2019	Human Factors 2019	Q1 (IF 3.4) (人因工程顶刊)	全文	强	(Kim & Gabbard, 2019)	Kim, H., & Gabbard, J. L. (2019). Assessing Distraction Potential of Augmented Reality Head-Up Displays for Vehicle Drivers. *Human Factors: The Journal of the Human Factors and Ergonomics Society*, *64*(5), 852–865. https://doi.org/10.1177/0018720819844845	背景（技术/综述，未直接引用）
14	Brake reactions of distracted drivers to pedestrian Forward Collision Warning systems	行人前向碰撞预警（pedestrian FCW）系统下分心（distracted）驾驶员的制动反应分析（具体场景在 OpenAlex abstract 中缺失）	未报告	未报告（OpenAlex abstract 缺失）	未报告	未报告	未报告（abstract 缺失）	未报告	未报告	未报告（abstract 缺失；据题名推测为分心驾驶员在行人 FCW 系统下的制动行为评估）	未报告	未报告（推测含 brake reaction time、制动强度、碰撞结果等）	未报告（基于题名推断：分析分心驾驶员对行人 FCW 系统的制动反应特征；为行人 FCW 领域常被引用的人因实证研究，被引 49 次）	Nils Lübbe	Nils Lübbe	2017	J. Safety Research 2017	Q1 (IF 4.3) (Elsevier)	全文	强	(Lubbe, 2017)	Lubbe, N. (2017). Brake reactions of distracted drivers to pedestrian Forward Collision Warning systems. *Journal of Safety Research*, *61*, 23–32. https://doi.org/10.1016/j.jsr.2017.02.002	实验1、实验2
15	Distractive or Supportive -- How Warnings in the Head-up Display Affect Drivers' Gaze and Driving Be	城市场景驾驶模拟器中，行人突然横穿自车前方需紧急制动的 critical urban scenario	未报告	HUD 显示区域内（具体位置参数未在 abstract 报告）	四种 HUD 预警类型（abstract 未具体展开几何/图标），按两维度组织：策略（attention-oriented vs. reaction-oriented）× 具体性（generic vs. specific）	未报告	未报告（针对即将到来的行人横穿场景触发，但无具体 TTC/距离阈值）	未报告	无分级（4 种预警类型 + 1 个对照组共 5 组对比；非紧急程度分级）	城市驾驶模拟，遭遇行人横穿，需快速且强烈的紧急制动（emergency brake）	预警类型（4 种 HUD 预警 + 对照组）；预警策略（attention vs. reaction oriented）× 具体性（generic vs. specific）	凝视行为 gaze（含是否产生 HUD glance）、制动反应（reaction time、强度）、碰撞数、碰撞严重程度	所有预警均整体提升表现：制动更快更强、碰撞严重程度降低（但碰撞数未减）；仅约半数被试真正 glance HUD，注视 HUD 反而削弱收益；最难理解的预警效果最差——'不需注视即可被感知'的预警最有潜力	Susann Winkler, Juela Kazazi, Mark Vollrath	Susann Winkler	2015	ITSC 2015	会议 (IF -) / CCF C (ITSC 国际智能交通会议)	全文	强	(Winkler et al., 2015)	Winkler, S., Kazazi, J., & Vollrath, M. (2015). Distractive or Supportive -- How Warnings in the Head-up Display Affect Drivers' Gaze and Driving Behavior. In *2015 IEEE 18th International Conference on Intelligent Transportation Systems* (pp. 1035–1040). IEEE. https://doi.org/10.1109/itsc.2015.172	实验1
16	Accident Prevention through Visual Warnings: How to Design Warnings in Head-up Display for Older and	静态驾驶模拟器中的城市场景：4 种关键事件（含 pedestrian 行人、lead vehicle 前车、obstacle 障碍物），覆盖 very critical（高危急）与 less critical（低危急）条件	未报告（两类视觉符号 stop sign / caution sign，颜色具体值未在 abstract 给出）	HUD 显示区域内（具体位置参数未报告）	两种视觉符号：Stop sign warning（停止标志，目标在于触发立即急刹）与 Caution sign warning（注意标志，目标在于诱发轻踩刹车）	静态符号（标志类）	未报告	未报告	二级语义差异（指令式 stop vs. 提示式 caution），但非按紧急程度划分的层级预警	静态驾驶模拟器中应对 4 种城市危险场景（行人/前车/障碍物等）	预警类型（stop sign / caution sign）× 年龄组（20–35 岁 / 65+ 岁），被试间设计	碰撞数 number of collisions、制动反应时间 brake reaction time、最大制动量 maximum braking value	高危急场景下预警显著降低碰撞数（尤其年轻驾驶员）；老年偏好 stop sign（更快更强制动）；年轻驾驶员在 caution sign 下反应最快最强；低危急两类预警均缩短 RT，且 stop sign 制动最强	Juela Kazazi, Susann Winkler, Mark Vollrath	Juela Kazazi	2015	ITSC 2015	会议 (IF -) / CCF C (ITSC 国际智能交通会议)	全文	强	(Kazazi et al., 2015)	Kazazi, J., Winkler, S., & Vollrath, M. (2015). Accident Prevention through Visual Warnings: How to Design Warnings in Head-up Display for Older and Younger Drivers. In *2015 IEEE 18th International Conference on Intelligent Transportation Systems* (pp. 1028–1034). IEEE. https://doi.org/10.1109/itsc.2015.171	实验1、实验2
17	Augmented Reality-Based Navigation Using Deep Learning-Based Pedestrian and Personal Mobility User R	在线视频研究（Google Forms），传统 HUD vs. 本文提出的 AR-HUD（含深度学习行人/PMU 检测与朝向估计）	黄色 = 行人；红色 = 个人移动设备 (PMU, e.g. e-scooter, monocycle)	AR-HUD 位置贴合行人/PMU 真实位置；超出 HUD 视野时用方向箭头沿 HUD 边界提示	径向圆圈（位置）+ 方向箭头（72-bin MEBOW 估计的朝向）	动态：跟随行人/PMU 实时位置与朝向变化	基于 Mask R-CNN + DMNAD 异常检测 + MEBOW 检测结果触发，无 TTC 阈值（持续显示）	实时持续显示（视频研究中场景全程可见）	三级信息复杂度（Minimal: 仅位置 / Normal: 位置+方向 / Complex: 位置+方向+速度+油量），非风险分级	在线观看驾驶视频后填写 SUS（系统可用性）+ SART（情境感知）问卷	HUD 类型（传统 vs AR-HUD）× 信息复杂度（Minimal/Normal/Complex）	SUS 评分；SART 综合 SA、注意力供给、理解度	AR-HUD 显著优于传统 HUD：SUS 多项 (p<0.05/0.01)；SART 综合 SA 显著提升 (p<0.05)；理解度提升 (p<0.01)；信息复杂度提升不显著降低 SA	Dong Hyeon Roh, Jae Yeol Lee	Dong Hyeon Roh	2023	IEEE Access 2023	Q2 (IF 4.2)	全文	强	(Roh & Lee, 2023)	Roh, D. H., & Lee, J. Y. (2023). Augmented Reality-Based Navigation Using Deep Learning-Based Pedestrian and Personal Mobility User Recognition—A Comparative Evaluation for Driving Assistance. *IEEE Access*, *11*, 62200–62211. https://doi.org/10.1109/access.2023.3286872	背景（技术/综述，未直接引用）
18	In‐Vehicle AR‐HUD System to Provide Driving‐Safety Information	车载 AR-HUD 工程系统：在恶劣天气下识别地面障碍物（车辆 + 行人）并将驾驶安全信息贴合驾驶员视野呈现	未报告/工程系统	AR-HUD 上信息与驾驶员视野配准（'displays information registered to the driver's view'）——区别于传统 HUD 的非配准显示	未报告/工程系统	动态（系统识别速度约 15 fps，实时注册）	未报告/工程系统	未报告/工程系统	未报告/工程系统	N/A 工程系统。系统由四模块组成：ground obstacle detection（地面障碍检测）、object decision（对象决策）、object recognition（对象识别）、display（显示）	N/A 工程系统	驾驶安全信息识别率约 73%；识别速度约 15 fps（对车辆与行人均同）	提出可在恶劣天气下稳健识别 + 视野配准的 AR-HUD 系统；行人/车辆识别率 ~73%，速度 ~15 fps；融合 GPS 与计算机视觉技术	Hye Sun Park, Min Woo Park, Kwanghee Won	Hye Sun Park	2013	ETRI Journal 2013	Q3 (IF 2.0) (Wiley)	全文	强	(Park et al., 2013)	Park, H. S., Park, M. W., Won, K. H., Kim, K., & Jung, S. K. (2013). In‐Vehicle AR‐HUD System to Provide Driving‐Safety Information. *ETRI Journal*, *35*(6), 1038–1047. https://doi.org/10.4218/etrij.13.2013.0041	背景（技术/综述，未直接引用）
19	A Review of Augmented Reality Heads Up Display in Vehicles: Effectiveness, Application, and Safety	N/A 综述（综述车载 AR-HUD 的演进、应用与安全；重点包含自动驾驶接管 driver handover 场景与行人识别）	N/A 综述	N/A 综述（综述讨论 AR-HUD 作为辅助显示 vs. 主显示的定位差异，未涉及具体位置参数）	N/A 综述	N/A 综述	N/A 综述	N/A 综述	N/A 综述	N/A 综述（文献综述方法）	N/A 综述	N/A 综述	AR-HUD 应用得当可提升安全与体验，否则会增加干扰与认知负荷；主要收益：导航更直观、降低非注意盲视（inattentional blindness）、改善行人识别；研究空白：多数研究将 AR-HUD 视为辅助显示而非主显示——提出将其作为唯一显示的研究方向	M. Winkler, Morteza Soleimani	M. Winkler	2025	IJHCI 2025	Q1 (IF 4.9) (HCI 重要期刊)	全文	强	(Winkler & Soleimani, 2025)	Winkler, M., & Soleimani, M. (2025). A Review of Augmented Reality Heads Up Display in Vehicles: Effectiveness, Application, and Safety. *International Journal of Human–Computer Interaction*, *41*(18), 11405–11420. https://doi.org/10.1080/10447318.2024.2443252	背景（技术/综述，未直接引用）
20	ARive: Assisting Drivers with In-Car Augmented Reality for Risk Zone Detection	Carla 0.9.12 模拟器 + 真实 HoloLens 2 AR-HMD（非屏幕模拟）；两个城镇 Town A / Town B；6 个城市驾驶任务（急刹、无信号交叉口让行、并道等）	中等透明度红色（单一）	Design 1 红地毯：道路水平面投影于前车后方；Design 2 虚拟墙：垂直于道路、叠在前车上	Design 1 = Red Carpet 地毯；Design 2 = Virtual Wall 红色透明方块墙	动态：长度/高度随 TTMD 实时变化（红地毯长度 = Δv × t_min；虚拟墙高度 = h_obj × t_min/2）	TTMD ≤ 5 s 且最近距离 < 5 m 时激活（TTMD = Time to Minimum Distance, 公式 t_min = -(Δp·Δv)/(Δv·Δv)）	条件满足时持续显示；条件解除即消失	二级：0<TTMD≤2s 临界（红色加深）/ 2<TTMD≤5s 预警（标准红色）	Carla 模拟器中完成驾驶任务，三种条件（Baseline / Design 1 / Design 2）	AR 设计（Baseline / Red Carpet / Virtual Wall）	THW、最小 TTC、TTC<3s 次数、刹车反应时、最大减速度、让行成功率；UEQ、DALI 主观评分；半结构化访谈	急刹 THW 显著增大 (B vs D1 p<.005, B vs D2 p<.009)；让行成功率 D2 显著优于 Baseline (p<.001)；UEQ 吸引度 D1 > D2 (p<.017)；干扰度 D2 > B&D1；偏好 16/21 选 D1；最小 TTC、刹车反应时、最大减速度无显著差异	Chao Wang, Derck Chu, Marieke Martens	Chao Wang	2025	ACM IMWUT 2025	Q1 (IF 6.2) / CCF A (UbiComp) (顶级会议 UbiComp 论文)	全文	强	(Wang et al., 2025)	Wang, C., Chu, D., & Martens, M. (2025). ARive: Assisting Drivers with In-Car Augmented Reality for Risk Zone Detection. *Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies*, *9*(1), 1–27. https://doi.org/10.1145/3712270	实验1、实验3、实验4
21	Differences in drivers’ dependence on AR warning information in urban driving environments: the role	城市道路（urban road）行人突然冲出（pedestrian run-out）危险场景，分为白天（urban daytime）与夜间（urban nighttime）两种照明条件；车辆以 50 km/h 在城市道路自动驾驶状态下行驶（self-driving car）。	实验材料显示 AR 警告视觉效果（基于专家焦点小组筛选的 pedestrian run-out AR warning theme），未在正文给出具体 RGB/HEX；图 7 展示了白天与夜间的城市中 AR 警告呈现样式。	AR 警告信息以 AR HUD 投影方式叠加于驾驶员前方道路真实场景中（in driver's field of view），具体位置为行人冲出位置附近；未给出 horizontal/vertical 角度数值。	Pedestrian run-out 主题的 AR warning 视觉符号（一种闪烁的图形警告 message），针对行人危险的图标化标识；论文未给出几何尺寸参数。	AR 警告信息以 flashing（闪烁）方式呈现；当 TTC=2.5 s 且车距约 34.72 m 时触发警告与行人冲出同步出现；Experiment 2 中三次行人危险事件中随机一次发生 AR 警告系统故障（system failure）。	基于 TTC（Time-To-Collision）= 2.5 s 触发，对应车-人距离约 34.72 m（车速 50 km/h）。	未明确给出，警告随行人冲出事件呈现并以 flashing 方式持续至事件解除；Experiment 2 故障条件下 warning 完全缺失。	二元设计：(1) AR 警告组（with AR warning at TTC=2.5 s）vs. 对照组（无 AR 警告）；Experiment 2 引入 AR 系统故障（random AR warning failure）作为第三种条件；无多级分级警告。	驾驶员观看模拟驾驶视频（50 km/h 城市道路），完成行人危险感知任务（hazard perception），并口头报告（verbal report）检测到的行人危险以增加认知负荷；Experiment 2 增加 UMUX 主观评分（effectiveness/intrusiveness/reliability 三维度，7-point Likert）。	(1) AR 警告条件（AR group vs. control group；Experiment 2: AR + system failure）；(2) 驾驶经验（experienced：累计 > 50,000 km 或驾龄 > 4 年 vs. novice）；(3) 环境照明（urban daytime vs. urban nighttime）。	(1) 行人危险感知时间（hazard perception time / perceived time-to-pedestrian，由 Tobii Glass 3 眼动数据 60 Hz、0.5° 精度采集）；(2) UMUX 主观评分（effectiveness/intrusiveness/reliability）。	Experiment 1：白天 AR 组 M=0.52 s（SD=0.13）、对照 M=1.20 s（SD=0.33），p<0.01；夜间 AR 组 M=0.58 s（SD=0.14）、对照 M=1.89 s（SD=0.32），p<0.01。对照组白天 vs 夜间 p<0.01；AR 组白天 vs 夜间 p=0.092（无显著差异），AR 可消除昼夜差异。Experiment 2 依赖性：经验驾驶员白天 AR 故障 vs 对照 p=0.594（无依赖），夜间 p<0.01 但 AR 故障时间显著低于对照（更警觉）；新手驾驶员白天 p<0.01（产生依赖），夜间 p=0.935（无依赖）。主观：依赖性与期望主要与 perceived intrusiveness 负相关而非 effectiveness。	Faren Huo, Rubanka Alla	Faren Huo	2025	Frontiers VR 2025	未收录JCR (新刊) (IF -) (Frontiers 新刊，2020年创刊)	全文	强	(Huo & Alla, 2025)	Huo, F., & Alla, R. (2025). Differences in drivers’ dependence on AR warning information in urban driving environments: the role of driving experience. *Frontiers in Virtual Reality*, *6*, 1638823. https://doi.org/10.3389/frvir.2025.1638823	实验1
